FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
451,Chitralahari,12-04-2019,246,Sai Dharam Tej,505,Tollywood,608,15.00,6.60,27.10,2.00,25.10,Hit,7.1,131,Amazon Prime Video
452,Thadam,01-03-2019,398,Arun Vijay,503,Kollywood,626,14.00,1.20,26.00,4.00,22.00,Above Average,8.1,138,Amazon Prime Video
453,Odeya,12-12-2019,399,Darshan Thoogudeep,507,Sandalwood,606,15.00,2.50,25.50,1.00,24.50,Hit,3.8,164,Amazon Prime Video
454,Rakshasudu,02-08-2019,352,Sai Srinivas Bellamkonda,505,Tollywood,607,10.00,3.90,24.20,3.00,21.20,Hit,7.9,122,ZEE5
455,Dhilluku Dhuddu 2,25-01-2019,400,Santhanam,503,Kollywood,628,7.00,2.20,24.00,7.50,16.50,Super Hit,5.4,119,Amazon Prime Video
456,Oru Yamandan Premakadha,03-05-2019,401,Dulquer Salmaan,509,Mollywood,608,7.00,2.00,23.20,6.20,17.00,Hit,5.1,165,Amazon Prime Video
457,Uyare,03-05-2019,402,Parvathy Thiruvothu,509,Mollywood,647,6.00,1.20,23.70,7.80,15.90,Super Hit,8,125,Amazon Prime Video
458,Unda,14-06-2019,341,Mammootty,509,Mollywood,691,8.00,1.70,23.00,7.00,16.00,Hit,7.7,130,Amazon Prime Video
459,Virus,14-06-2019,403,Parvathy Thiruvothu,509,Mollywood,664,6.00,1.10,22.20,6.40,15.80,Super Hit,7.7,152,Amazon Prime Video
460,Mr. Majnu,24-01-2019,169,Akhil Akkineni,505,Tollywood,638,30.00,7.50,21.00,1.60,19.40,Disaster,6.1,145,ZEE5
461,LKG,22-02-2019,404,RJ Balaji,503,Kollywood,631,5.00,3.50,20.90,4.70,16.20,Blockbuster,6.9,124,Aha
462,118,01-03-2019,405,Nandamuri Kalyan Ram,505,Tollywood,714,12.00,2.80,20.80,0.00,20.80,Average,6.4,120,Disney+ Hotstar
463,Jawan,07-09-2023,201,Shah Rukh Khan,501,Bollywood,621,300.00,129.10,1160.00,400.00,760.00,All Time Blockbuster,6.9,169,Netflix
464,Pathaan,25-01-2023,104,Shah Rukh Khan,501,Bollywood,651,250.00,104.80,1055.00,397.50,657.50,All Time Blockbuster,5.8,146,Amazon Prime Video
465,Animal,01-12-2023,231,Ranbir Kapoor,501,Bollywood,621,150.00,116.00,915.00,255.00,660.00,Blockbuster,6.1,204,Netflix
466,Gadar 2,11-08-2023,406,Sunny Deol,501,Bollywood,699,80.00,53.30,686.00,65.50,620.50,Blockbuster,5.1,170,ZEE5
467,Salaar: Part 1 - Ceasefire,22-12-2023,131,Prabhas,505,Tollywood,621,280.00,158.10,617.75,130.00,487.75,Super Hit,6.6,175,Amazon Prime Video
468,Leo,19-10-2023,296,Joseph Vijay,503,Kollywood,621,250.00,142.70,605.90,204.00,401.90,Blockbuster,7.2,164,Netflix
469,Jailer,10-08-2023,181,Rajinikanth,503,Kollywood,603,200.00,96.60,604.50,196.00,408.50,Blockbuster,7.1,168,Amazon Prime Video
470,Tiger 3,12-11-2023,277,Salman Khan,501,Bollywood,651,250.00,94.00,464.00,124.50,339.50,Hit,5.7,155,Amazon Prime Video
471,Dunki,21-12-2023,101,Taapsee Pannu,501,Bollywood,734,120.00,58.00,454.00,182.00,272.00,Hit,6.5,160,Netflix
472,Adipurush,16-06-2023,359,Prabhas,505,Tollywood,735,500.00,127.50,393.00,50.00,343.00,Disaster,2.7,179,Amazon Prime Video
473,Rocky Aur Rani Kii Prem Kahaani,28-07-2023,272,Ranveer Singh,501,Bollywood,702,150.00,23.10,357.50,175.00,182.50,Hit,6.5,168,Amazon Prime Video
474,Ponniyin Selvan: Part Two,28-04-2023,310,Vikram,503,Kollywood,698,250.00,62.45,344.63,130.00,214.63,Hit,7.3,164,Amazon Prime Video
475,The Kerala Story,12-05-2023,407,Adah Sharma,501,Bollywood,647,25.00,9.50,302.00,15.50,286.50,Blockbuster,6.9,138,ZEE5
476,Varisu,11-01-2023,125,Joseph Vijay,503,Kollywood,613,200.00,47.20,297.55,89.00,208.55,Hit,6,169,Amazon Prime Video
477,Tu Jhoothi Main Makkaar,03-05-2023,145,Ranbir Kapoor,501,Bollywood,630,75.00,22.10,223.00,48.00,175.00,Hit,6,150,Netflix
478,OMG 2,11-08-2023,408,Pankaj Tripathi,501,Bollywood,620,70.00,12.10,221.75,43.00,178.75,Super Hit,7.5,156,Netflix
479,Waltair Veerayya,13-01-2023,208,Chiranjeevi,505,Tollywood,606,125.00,44.60,219.00,29.00,190.00,Super Hit,6.2,155,Amazon Prime Video
480,Thunivu,11-01-2023,225,Ajith Kumar,503,Kollywood,621,120.00,39.60,200.00,55.90,144.10,Hit,6.1,146,Netflix
481,Kisi Ka Bhai Kisi Ki Jaan,21-04-2023,328,Salman Khan,501,Bollywood,613,125.00,27.00,184.60,52.60,132.00,Below Average,4,145,Amazon Prime Video
482,2018,05-05-2023,409,Tovino Thomas,509,Mollywood,627,28.00,3.30,180.03,69.50,110.53,All Time Blockbuster,8.3,150,Amazon Prime Video
483,Dream Girl 2,25-08-2023,410,Ayushmann Khurrana,501,Bollywood,608,75.00,12.60,142.20,16.20,126.00,Hit,5.2,134,Netflix
484,Sam Bahadur,01-12-2023,139,Vicky Kaushal,501,Bollywood,736,60.00,8.40,130.30,18.50,111.80,Hit,7.7,150,ZEE5
485,Veera Simha Reddy,12-01-2023,253,Nandamuri Balakrishna,505,Tollywood,606,85.00,47.30,130.00,15.00,115.00,Above Average,4.9,170,Amazon Prime Video
486,Fukrey 3,29-09-2023,211,Pulkit Samrat,501,Bollywood,733,40.00,12.40,127.75,14.50,113.25,Hit,5.5,147,Amazon Prime Video
487,Bholaa,30-03-2023,279,Ajay Devgn,501,Bollywood,683,100.00,16.50,123.00,15.00,108.00,Average,5.8,144,Amazon Prime Video
488,Dasara,30-03-2023,411,Nani,505,Tollywood,698,65.00,37.00,118.50,22.00,96.50,Super Hit,6.6,156,Netflix
489,Satyaprem Ki Katha,30-06-2023,412,Kartik Aaryan,501,Bollywood,704,60.00,9.90,118.50,26.00,92.50,Hit,6.7,146,Amazon Prime Video
490,Vaathi,17-03-2023,169,Dhanush,503,Kollywood,606,40.00,14.40,116.20,25.00,91.20,Blockbuster,7.3,139,Amazon Prime Video
491,Zara Hatke Zara Bachke,02-06-2023,379,Vicky Kaushal,501,Bollywood,702,35.00,6.50,116.00,11.30,104.70,Super Hit,6,132,JioCinema
492,Bhagavanth Kesari,18-10-2023,230,Nandamuri Balakrishna,505,Tollywood,627,90.00,25.50,114.50,14.80,99.70,Below Average,5.9,164,Amazon Prime Video
493,Bro,27-07-2023,413,Sai Dharam Tej,505,Tollywood,737,100.00,43.70,114.00,16.80,97.20,Flop,6.1,134,Netflix
494,Mark Antony,15-09-2023,414,Vishal,503,Kollywood,738,35.00,11.45,104.30,19.00,85.30,Blockbuster,6.6,150,Amazon Prime Video
495,Virupaksha,21-04-2023,415,Sai Dharam Tej,505,Tollywood,739,40.00,11.00,89.80,14.00,75.80,Super Hit,7.2,145,Amazon Prime Video
496,Neru,21-12-2023,177,Mohanlal,509,Mollywood,664,15.00,5.85,85.60,32.35,53.25,Blockbuster,7.5,150,Amazon Prime Video
497,RDX: Robert Dony Xavier,24-09-2023,416,Antony Varghese,509,Mollywood,625,15.00,2.50,84.75,28.75,56.00,Blockbuster,7.1,151,Amazon Prime Video
498,Kannur Squad,28-09-2023,417,Mammootty,509,Mollywood,621,25.00,5.00,82.00,34.50,47.50,Blockbuster,7.6,161,Amazon Prime Video
499,Baby,14-07-2023,418,Anand Deverakonda,505,Tollywood,636,10.00,6.30,81.05,6.00,75.05,Blockbuster,7.1,175,Aha
500,Kaatera,29-12-2023,300,Darshan Thoogudeep,507,Sandalwood,637,45.00,13.00,80.50,0.00,80.50,Hit,7.4,183,Amazon Prime Video
501,Maaveeran,14-07-2023,419,Sivakarthikeyan,503,Kollywood,740,50.00,11.70,78.40,15.50,62.90,Hit,7.4,163,Amazon Prime Video
502,Hi Nanna,07-12-2023,420,Nani,505,Tollywood,741,45.00,9.80,76.35,18.50,57.85,Hit,8.2,155,Amazon Prime Video
503,Kushi,31-08-2023,229,Vijay Deverakonda,505,Tollywood,608,50.00,25.85,76.00,19.00,57.00,Average,5.4,163,Netflix
504,Maamannan,29-06-2023,303,Vadivelu,503,Kollywood,627,30.00,11.00,73.80,12.80,61.00,Super Hit,6.7,157,Netflix
505,12th Fail,27-10-2023,421,Vikrant Massey,501,Bollywood,633,20.00,1.50,70.05,3.50,66.55,Blockbuster,8.8,147,Netflix
506,Romancham,03-02-2023,422,Soubin Shahir,509,Mollywood,628,3.00,0.50,69.00,23.30,45.70,Blockbuster,7.5,130,Amazon Prime Video
507,Jigarthanda DoubleX,12-11-2023,373,Raghava Lawrence,503,Kollywood,610,50.00,4.15,64.55,12.30,52.25,Average,8,172,Netflix
508,Chandramukhi 2,15-09-2023,423,Raghava Lawrence,503,Kollywood,675,65.00,11.70,54.10,8.00,46.10,Disaster,2.6,172,Netflix
509,Viduthalai Part 1,31-03-2023,157,Soori,503,Kollywood,621,25.00,5.00,53.00,9.25,43.75,Blockbuster,8.3,150,ZEE5
510,Skanda: The Attacker,28-09-2023,241,Ram Pothineni,505,Tollywood,619,65.00,15.60,53.00,4.25,48.75,Disaster,4.2,167,Disney+ Hotstar
511,Miss. Shetty Mr. Polishetty,07-09-2023,424,Naveen Polishetty,505,Tollywood,742,20.00,5.80,51.00,17.20,33.80,Blockbuster,7,149,Netflix
512,Tiger Nageswara Rao,21-10-2023,425,Ravi Teja,505,Tollywood,621,50.00,8.50,50.00,5.00,45.00,Flop,6,172,Amazon Prime Video
513,Kranti,26-01-2023,426,Darshan Thoogudeep,507,Sandalwood,606,35.00,11.60,48.20,0.00,48.20,Below Average,5.1,163,Amazon Prime Video
514,Shehzada,17-02-2023,281,Kartik Aaryan,501,Bollywood,610,70.00,8.00,47.80,10.00,37.80,Disaster,4.5,142,Netflix
515,Mission Raniganj: The Great Bharat Rescue,06-10-2023,274,Akshay Kumar,501,Bollywood,743,55.00,3.80,46.00,5.60,40.40,Disaster,7.1,134,Amazon Prime Video
516,Por Thozhil,16-06-2023,427,R. Sarathkumar,503,Kollywood,607,8.00,1.60,43.50,5.30,38.20,Blockbuster,8,147,SonyLIV
517,Pichaikkaran 2,19-05-2023,428,Vijay Antony,503,Kollywood,744,25.00,8.50,43.50,1.30,42.20,Hit,5.7,148,Disney+ Hotstar
518,Bholaa Shankar,11-08-2023,429,Chiranjeevi,505,Tollywood,621,100.00,23.15,42.25,6.25,36.00,Disaster,3.3,159,Netflix
519,Kabzaa,17-03-2023,430,Upendra,507,Sandalwood,607,70.00,12.50,40.40,4.60,35.80,Disaster,4.7,134,Amazon Prime Video
520,King of Kotha,24-08-2023,431,Dulquer Salmaan,509,Mollywood,621,45.00,15.00,39.10,15.90,23.20,Disaster,6.1,174,Amazon Prime Video
521,DD Returns,28-07-2023,432,Santhanam,503,Kollywood,628,15.00,2.70,38.50,0.00,38.50,Super Hit,6.2,124,ZEE5
522,Mrs. Chatterjee vs. Norway,17-03-2023,433,Rani Mukerji,501,Bollywood,633,20.00,3.20,37.50,11.00,26.50,Above Average,7.3,144,Amazon Prime Video
523,Pathu Thala,30-03-2023,434,Silambarasan Rajendar,503,Kollywood,605,35.00,7.20,37.30,4.50,32.80,Flop,6.7,151,Amazon Prime Video
524,Samajavaragamana,29-06-2023,435,Sree Vishnu,505,Tollywood,707,5.00,1.90,32.00,9.35,22.65,Blockbuster,7.4,140,Amazon Prime Video
525,Garudan,03-11-2023,436,Suresh Gopi,509,Mollywood,745,8.00,4.00,27.10,9.60,17.50,Hit,7.3,138,Amazon Prime Video
526,Ghost,19-10-2023,437,Shivarajkumar,507,Sandalwood,618,20.00,2.80,26.65,0.75,25.90,Below Average,6.3,132,Amazon Prime Video
527,Balagam,03-03-2023,438,Priyadarshi Pulikonda,505,Tollywood,643,3.00,0.50,26.55,0.25,26.30,Blockbuster,7.9,131,Amazon Prime Video
528,Japan,10-11-2023,439,Karthi,503,Kollywood,693,70.00,6.50,26.55,5.25,21.30,Disaster,3.2,156,Netflix
529,Sapta Sagaradaache Ello: Side A,01-09-2023,440,Rakshit Shetty,507,Sandalwood,636,20.00,2.30,26.25,0.00,26.25,Average,8.2,142,Amazon Prime Video
530,Mad,06-10-2023,441,Anthony,505,Tollywood,631,5.00,1.80,26.00,3.50,22.50,Blockbuster,7.4,127,Amazon Prime Video
531,Selfiee,24-02-2023,317,Akshay Kumar,501,Bollywood,732,100.00,4.30,24.60,4.50,20.10,Disaster,5.7,148,Disney+ Hotstar
532,Devil,29-12-2023,442,Nandamuri Kalyan Ram,505,Tollywood,627,30.00,4.40,23.20,1.80,21.40,Disaster,6.5,144,Amazon Prime Video
533,Ravanasura,07-04-2023,443,Ravi Teja,505,Tollywood,621,35.00,7.70,23.10,3.00,20.10,Disaster,5.7,141,Amazon Prime Video
534,Das Ka Dhamki,22-03-2023,444,Vishwak Sen,505,Tollywood,732,15.00,8.50,22.80,2.70,20.10,Hit,6.1,140,Amazon Prime Video
535,Maa Oori Polimera 2,03-11-2023,445,Rajsekhar Aningi,505,Tollywood,666,8.00,3.00,21.80,2.50,19.30,Blockbuster,7.1,125,Amazon Prime Video
536,Voice of Sathyanathan,28-07-2023,446,Thennal Abhilash,509,Mollywood,678,10.00,1.95,22.10,5.25,16.85,Hit,5.7,135,Amazon Prime Video
537,Mangalavaaram,17-11-2023,183,Payal Rajput,505,Tollywood,715,15.00,3.50,21.35,2.25,19.10,Average,6.8,149,Amazon Prime Video
538,Spy,29-06-2023,447,Nikhil Siddharth,505,Tollywood,618,25.00,10.20,21.00,3.50,17.50,Flop,4.7,135,Amazon Prime Video
539,Dada,10-02-2023,448,Kavin,503,Kollywood,741,4.00,0.85,20.90,1.50,19.40,Blockbuster,8.1,133,Amazon Prime Video
540,Kalki 2898-AD,27-06-2024,153,Prabhas,505,Tollywood,746,500.00,177.70,1042.25,275.00,767.25,Blockbuster,7,180,Amazon Prime Video
541,Stree 2: Sarkate Ka Aatank,15-08-2024,141,Bhumi Rajgor,501,Bollywood,628,80.00,80.00,857.07,144.00,713.07,Blockbuster,7.1,147,Amazon Prime Video
542,The GOAT,05-09-2024,264,Joseph Vijay,503,Kollywood,618,320.00,100.75,451.23,156.10,295.13,Hit,5.9,183,Netflix
543,Devara: Part 1,26-09-2024,140,N.T. Rama Rao Jr.,505,Tollywood,627,250.00,142.00,421.60,78.85,342.75,Hit,6.4,176,Amazon Prime Video
544,Fighter,25-01-2024,104,Hrithik Roshan,501,Bollywood,606,250.00,35.05,358.83,254.83,254.83,Hit,6.2,166,Netflix
545,Hanu Man,12-01-2024,449,Teja Sajja,505,Tollywood,673,30.00,23.50,295.00,57.25,238.00,Blockbuster,7.8,158,Amazon Prime Video
546,Vettaiyan,10-10-2024,450,Amitabh Bachchan,503,Kollywood,605,200.00,67.00,253.20,82.00,171.20,Average,8,163,Amazon Prime Video
547,Manjummel Boys,22-02-2024,451,Soubin Shahir,509,Mollywood,747,22.00,6.40,241.10,167.65,167.65,All Time Blockbuster,8.2,135,Amazon Prime Video
548,Shaitaan,08-03-2024,374,Ajay Devgn,501,Bollywood,748,80.00,21.50,213.55,37.50,176.05,Super Hitt,6.5,132,Netflix
549,Guntur Kaaram,12-01-2024,143,Mahesh Babu,505,Tollywood,606,150.00,68.70,180.50,31.00,149.50,Below Average,5.4,159,Amazon Prime Video
550,The Goat Life,28-03-2024,452,Prithviraj Sukumaran,509,Mollywood,713,50.00,16.22,157.35,97.85,97.85,Blockbuster,7.1,173,Amazon Prime Video
551,Aavesham,11-04-2024,422,Fahadh Faasil,509,Mollywood,612,30.00,10.50,154.79,56.00,98.79,Blockbuster,7.8,155,Amazon Prime Video
552,Raayan,26-07-2024,453,Dhanush,503,Kollywood,606,70.00,23.00,154.00,43.50,110.50,Blockbuster,6.5,145,Amazon Prime Video
553,Crew,29-03-2024,454,Tabu,501,Bollywood,620,60.00,19.50,151.35,55.00,96.35,Super Hitt,5.9,118,Netflix
554,Indian 2,12-07-2024,132,Kamal Haasan,503,Kollywood,627,250.00,56.25,148.83,53.00,95.83,Disaster,3.9,180,Netflix
555,Teri Baaton Mein Aisa Uljha Jiya,09-02-2024,455,Shahid Kapoor,501,Bollywood,749,70.00,13.50,139.00,37.75,101.25,Hit,6.2,141,Amazon Prime Video
556,Premalu,15-02-2024,390,Naslen,509,Mollywood,630,10.00,1.35,131.18,42.50,88.68,Blockbuster,7.8,156,Amazon Prime Video
557,Tillu Square,29-03-2024,456,Sidhu Jonnalagadda,505,Tollywood,750,35.00,22.65,126.75,30.00,96.75,Blockbuster,6.7,137,Aha
558,Munjya,07-06-2024,457,Sharvari,501,Bollywood,628,30.00,4.80,125.00,5.00,120.00,Blockbuster,6.4,123,Amazon Prime Video
559,Bad Newz,19-07-2024,458,Vicky Kaushal,501,Bollywood,630,80.00,14.00,113.75,37.00,76.75,Average,4.9,142,Amazon Prime Video
560,Bade Miyan Chote Miyan,10-04-2024,111,Akshay Kumar,501,Bollywood,639,250.00,31.50,111.49,33.00,78.49,Disaster,3.9,163,Netflix
561,Article 370,23-02-2024,459,Yami Gautam,501,Bollywood,627,35.00,8.60,105.01,12.50,92.51,Super Hitt,7.8,158,Netflix
562,Maharaja,14-06-2024,460,Vijay Sethupathi,503,Kollywood,621,30.00,104.84,71.26,80.59,80.59,Blockbuster,8.5,141,Amazon Prime Video
563,A.R.M,12-09-2024,461,Mohanlal,509,Mollywood,669,30.00,6.25,102.00,32.00,70.00,Blockbuster,7.6,150,Amazon Prime Video
564,Saripodhaa Sanivaaram,28-08-2024,343,Nani,505,Tollywood,618,60.00,19.65,100.03,26.00,74.03,Super Hitt,7,166,Amazon Prime Video
565,Aranmanai 4,21-06-2024,186,Tamannaah Bhatia,503,Kollywood,666,35.00,5.30,98.00,20.00,78.00,Blockbuster,5.1,148,Amazon Prime Video
566,Guruvayoor Ambalanadayil,16-05-2024,339,Prithviraj Sukumaran,509,Mollywood,631,20.00,8.00,90.15,34.85,55.30,Blockbuster,6.6,132,Amazon Prime Video
567,Chandu Champion,14-06-2024,203,Kartik Aaryan,501,Bollywood,751,90.00,7.60,87.25,13.75,73.50,Flop,7.9,142,Amazon Prime Video
568,Varshangalkku Shesham,11-04-2024,332,Pranav Mohanlal,509,Mollywood,620,20.00,10.15,83.10,46.60,46.60,Blockbuster,6.6,166,Amazon Prime Video
569,Ayalaan,12-01-2024,462,Sivakarthikeyan,503,Kollywood,752,75.00,6.80,76.50,17.85,58.65,Flop,6,155,Sun NXT
570,Captain Miller,12-01-2024,463,Dhanush,503,Kollywood,699,60.00,13.80,75.08,17.00,58.08,Average,6.5,157,Amazon Prime Video
571,Turbo,23-05-2024,278,Mammootty,509,Mollywood,612,35.00,15.70,72.25,32.00,40.25,Hit,5.9,155,Amazon Prime Video
572,Thangalaan,15-08-2024,147,Vikram,503,Kollywood,685,80.00,19.30,71.45,54.45,54.45,Flop,7.1,156,Netflix
573,Maidaan,10-04-2024,138,Ajay Devgn,501,Bollywood,692,100.00,10.40,71.15,63.40,63.40,Disaster,8,181,Amazon Prime Video
574,Kishkindha Kaandam,12-09-2024,464,Asif Ali,509,Mollywood,753,7.00,0.50,69.25,43.25,43.25,Blockbuster,8.6,133,Amazon Prime Video
575,Srikanth,10-05-2024,465,Rajkummar Rao,501,Bollywood,633,40.00,2.65,61.40,57.80,57.80,Above Average,7.4,134,Netflix
576,Bramayugam,15-02-2024,466,Mammootty,509,Mollywood,748,30.00,7.65,60.24,33.81,33.81,Super Hit,7.8,139,Amazon Prime Video
577,Garudan,03-07-2024,362,Soori,503,Kollywood,637,20.00,6.00,60.00,50.00,50.00,Super Hit,7.1,133,Amazon Prime Video
578,Khel Khel Mein,15-08-2024,292,Akshay Kumar,501,Bollywood,620,100.00,7.55,55.25,45.25,45.25,Disaster,6.7,135,Netflix
579,Yodha,15-03-2024,467,Sidharth Malhotra,501,Bollywood,627,60.00,5.85,53.50,45.00,45.00,Flop,5.7,130,Amazon Prime Video
580,Mr. & Mrs. Mahi,31-05-2024,468,Rajkummar Rao,501,Bollywood,718,40.00,7.60,51.25,41.75,41.75,Below Average,5.9,139,Netflix
581,Meiyazhagan,27-09-2024,165,Karthi,503,Kollywood,643,35.00,4.00,49.60,37.60,37.60,Super Hit,8.5,177,Netflix
582,Demonte Colony 2,27-09-2024,172,VJ Archana,503,Kollywood,754,15.00,5.05,49.15,41.65,41.65,Blockbuster,6.7,144,Amazon Prime Video
583,Kill,05-07-2024,469,Lakshya,501,Bollywood,621,20.00,1.50,47.25,28.75,28.75,Super Hit,7.6,105,Disney+ Hotstar
584,Madgaon Express,22-03-2024,470,Divyendu Sharma,501,Bollywood,620,30.00,1.80,46.20,42.80,42.80,Hit,7,143,Amazon Prime Video
585,Abraham Ozler,11-01-2024,244,Jayaram,509,Mollywood,700,15.00,5.88,40.82,25.11,25.11,Super Hit,6.5,143,Amazon Prime Video
586,Vaazhai,23-08-2024,303,Dhivya Dhuraisamy,503,Kollywood,755,5.00,2.25,39.02,34.22,34.22,Blockbuster,7.9,134,Amazon Prime Video
587,Naa Saami Ranga,14-01-2024,471,Nagarjuna Akkineni,505,Tollywood,698,30.00,6.50,37.31,35.81,35.81,Flop,4.5,150,Amazon Prime Video
588,Vaazha: Biopic of a Billion Boys,23-08-2024,472,Siju Sunny,509,Mollywood,647,4.00,2.00,36.50,26.50,26.50,Blockbuster,7.3,125,Amazon Prime Video
589,Sarfira,12-07-2024,473,Akshay Kumar,503,Kollywood,647,85.00,4.00,33.25,28.75,28.75,Super Hit,7.3,155,Disney+ Hotstar
590,Lal Salaam,09-02-2024,474,Rajinikanth,503,Kollywood,665,60.00,5.70,32.65,20.65,20.65,Disaster,4.6,150,Netflix
591,Swatantrya Veer Savarkar,22-03-2024,475,Randeep Hooda,501,Bollywood,633,25.00,1.50,31.86,29.11,29.11,Disaster,7.7,176,ZEE5
592,Eagle,09-02-2024,476,Ravi Teja,505,Tollywood,618,40.00,8.50,31.34,28.24,28.24,Flop,6,159,Amazon Prime Video
593,Mathu Vadalara 2,13-09-2024,477,Vennela Kishore,505,Tollywood,632,16.00,5.00,32.50,23.00,23.00,Disaster,7,139,Netflix
594,The Family Star,05-04-2024,149,Vijay Deverakonda,505,Tollywood,619,50.00,12.00,30.65,21.15,21.15,Super Hit,5.4,159,Amazon Prime Video
595,Malaikottai Vaaliban,25-01-2024,478,Mohanlal,509,Mollywood,756,60.00,12.15,30.31,17.15,17.15,Disaster,6,156,Disney+ Hotstar
596,Laapataa Ladies,01-03-2024,479,Nitanshi Goel,501,Bollywood,620,8.00,1.40,27.06,24.31,24.31,Disaster,8.4,122,Netflix
597,Merry Christmas,12-01-2024,480,Vijay Sethupathi,501,Bollywood,753,50.00,3.45,26.30,23.25,23.25,Hit,6.9,144,Netflix
598,Star,07-06-2024,481,Kavin,503,Kollywood,647,12.00,3.25,25.11,22.36,22.36,Hit,6.5,158,Amazon Prime Video
599,Gaami,08-03-2024,482,Vishwak Sen,505,Tollywood,757,15.00,7.50,24.00,18.62,18.62,Hit,6.5,147,ZEE5
600,Bheema,09-08-2024,309,Duniya Vijay,507,Sandalwood,640,8.00,4.60,23.00,0.00,23.00,Super Hit,5.7,148,Amazon Prime Video
601,Nunakkuzhi,15-08-2024,177,Nikhila Vimal,509,Mollywood,755,8.00,2.41,22.75,13.00,13.00,Hit,6.8,125,ZEE5
602,Ooru Peru Bhairavakona,16-02-2024,483,Sundeep Kishan,505,Tollywood,758,15.00,4.80,22.47,20.22,20.22,Hit,5.6,133,Amazon Prime Video
603,Manamey,07-06-2024,163,Vikram Aditya,505,Tollywood,631,20.00,3.25,21.00,18.65,18.65,Disaster,6,155,Amazon Prime Video
604,Gangs of Godavari,13-06-2024,484,Vishwak Sen,505,Tollywood,759,20.00,7.50,20.25,18.00,18.00,Disaster,5,165,Netflix
